"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","html 1"
"https://lekbeshimun.gov.np/sites/lekbeshimun.gov.np/files/styles/slickstyle/public/?itok=ue1jd8-y","text/html; charset=utf-8","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","8126","0","0.000","1","","1","1","0.130","0","0","0","0","","","","","","0.499","","","","","HTTP/1.1","https://lekbeshimun.gov.np/sites/lekbeshimun.gov.np/files/styles/slickstyle/public/?itok=ue1jd8-y",""
"https://kalinchowkmun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","कालिन्चोक गाँउपालिका | ""दोलखाको गौरब, शिक्षा, स्वास्थ्य,पर्यटन, कला र पौरख ""","76","989","","0","0","","0","श्री बिन कुमार थामी","19","श्री कालिका पाठक","16","Search form","11","Search form","11","","","","https://kalinchowkmun.gov.np/","","","","","","131182","1362","8.055","0","","18","2","0.270","190","130","16","16","","","","","51c342c30ac861134d462a92ad693a53","2.382","","","","","HTTP/1.1","https://kalinchowkmun.gov.np/",""
"https://kalinchowkmun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qcj3i4","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","261","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.352","","","","","HTTP/1.1","https://kalinchowkmun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qcj3i4",""
"https://kalinchowkmun.gov.np/sites/kalinchowkmun.gov.np/files/styles/slickstyle/public?itok=ue1jd8-y","text/html; charset=iso-8859-1","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","395","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.317","","https://kalinchowkmun.gov.np/sites/kalinchowkmun.gov.np/files/styles/slickstyle/public/?itok=ue1jd8-y","HTTP Redirect","","HTTP/1.1","https://kalinchowkmun.gov.np/sites/kalinchowkmun.gov.np/files/styles/slickstyle/public?itok=ue1jd8-y",""
"https://kalinchowkmun.gov.np/sites/kalinchowkmun.gov.np/files/styles/slickstyle/public/?itok=ue1jd8-y","text/html; charset=utf-8","403","Aborted","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","10387","0","0.000","1","","1","1","0.130","0","0","0","0","","","","","","0.997","","","","","HTTP/1.1","https://kalinchowkmun.gov.np/sites/kalinchowkmun.gov.np/files/styles/slickstyle/public/?itok=ue1jd8-y",""
"https://bidurmun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","विदुर नगरपालिका | "" शिक्षा,संस्कृति, कृषि र पूर्वाधारको अभियान । दिगो व्यापारिक केन्द्र विदुरको स्वाभिमान ।""","108","1442","","0","0","","0","","0","","0","Search form","11","Search form","11","","","","","","","","","","108994","1038","8.336","0","","8","1","0.130","166","113","41","40","","","","","6e2cdb3b5bfa9a6750e0e37b7ec6211b","1.636","Sun, 18 Apr 2021 08:33:26 GMT","","","","HTTP/1.1","https://bidurmun.gov.np/",""
"https://bidurmun.gov.np/sites/bidur.municipality.gov.np/files/u51/google-map-marker.png","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","272","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.548","","","","","HTTP/1.1","https://bidurmun.gov.np/sites/bidur.municipality.gov.np/files/u51/google-map-marker.png",""
"https://dhanaujimun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","धनौजी गाउँपालिका | गाउँ कार्यपालिकाको कार्यालय धनौजी ,धनुषा ,प्रदेश नं २ ,नेपाल","79","1050","","0","0","","0","धनौजी गाउँपालिका","16","श्री बद्री नारायण सिंह","22","Search form","11","सूचना","5","","","","https://dhanaujimun.gov.np/","","","","","","66277","653","7.159","0","","8","1","0.130","86","56","13","13","","","","","1f2447a50a86581ce3374e9c92459edb","1.952","","","","","HTTP/1.1","https://dhanaujimun.gov.np/",""
"https://mayadevimunkapilvastu.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","मायादेवी गाउँपालिका | गाउँ कार्यपालिकाकाे कार्यालय पकडी कपिलवस्तु लुम्बिनी प्रदेश नेपाल","87","1206","","0","0","","0","बजरंगी प्रसाद कुर्मी","20","गिता तिवारी","11","Search form","11","Search form","11","","","","https://mayadevimunkapilvastu.gov.np/","","","","","","93363","696","5.975","0","","17","2","0.270","130","80","10","10","","","","","961d660146e6f4767424583c1593ff81","2.099","","","","","HTTP/1.1","https://mayadevimunkapilvastu.gov.np/",""
"https://mayadevimunkapilvastu.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qcj6ae","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","261","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.355","","","","","HTTP/1.1","https://mayadevimunkapilvastu.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qcj6ae",""
